city,date,price
Fresno,2015-12,195800
Fresno,2016-01,196600
Fresno,2016-02,192200
Fresno,2016-03,192500
Fresno,2016-04,193400
Fresno,2016-05,200600
Fresno,2016-06,201500
Fresno,2016-07,203300
Fresno,2016-08,206100
Fresno,2016-09,207900
Fresno,2016-10,213600
Fresno,2016-11,215200
Fresno,2016-12,217600
Fresno,2017-01,219500
Fresno,2017-02,216300
Fresno,2017-03,215200
Fresno,2017-04,211300
Fresno,2017-05,215000
Fresno,2017-06,219800
Fresno,2017-07,224200
Fresno,2017-08,227000
Fresno,2017-09,234600
Fresno,2017-10,236800
Fresno,2017-11,241200
Fresno,2017-12,235000
Fresno,2018-01,236000
Fresno,2018-02,238900
Fresno,2018-03,242400
Fresno,2018-04,243400
Fresno,2018-05,243200
Fresno,2018-06,247300
Fresno,2018-07,245400
Fresno,2018-08,244800
Fresno,2018-09,241300
Fresno,2018-10,242900
Fresno,2018-11,243000
Fresno,2018-12,242300
Fresno,2019-01,245800
Fresno,2019-02,246300
Fresno,2019-03,245300
Fresno,2019-04,242800
Fresno,2019-05,242000
Fresno,2019-06,240200
Fresno,2019-07,241300
Fresno,2019-08,243100
Fresno,2019-09,249900
Fresno,2019-10,249500
Fresno,2019-11,253400
Fresno,2019-12,253300
Long Beach,2014-01,406400
Long Beach,2014-02,409500
Long Beach,2014-03,402300
Long Beach,2014-04,404400
Long Beach,2014-05,407700
Long Beach,2014-06,402400
Long Beach,2014-07,396500
Long Beach,2014-08,392200
Long Beach,2014-09,405200
Long Beach,2014-10,409600
Long Beach,2014-11,411700
Long Beach,2014-12,405500
Long Beach,2015-01,405700
Long Beach,2015-02,414400
Long Beach,2015-03,423500
Long Beach,2015-04,431100
Long Beach,2015-05,436300
Long Beach,2015-06,445500
Long Beach,2015-07,450700
Long Beach,2015-08,458000
Long Beach,2015-09,449300
Long Beach,2015-10,445900
Long Beach,2015-11,439400
Long Beach,2015-12,448400
Long Beach,2016-01,449500
Long Beach,2016-02,466700
Long Beach,2016-03,476000
Long Beach,2016-04,478300
Long Beach,2016-05,477900
Long Beach,2016-06,465600
Long Beach,2016-07,473600
Long Beach,2016-08,463200
Long Beach,2016-09,473400
Long Beach,2016-10,463900
Long Beach,2016-11,481000
Long Beach,2016-12,472200
Long Beach,2017-01,468600
Long Beach,2017-02,450200
Long Beach,2017-03,452900
Long Beach,2017-04,461300
Long Beach,2017-05,459700
Long Beach,2017-06,470100
Long Beach,2017-07,477300
Long Beach,2017-08,483200
Long Beach,2017-09,485700
Long Beach,2017-10,489300
Long Beach,2017-11,507200
Long Beach,2017-12,506900
Long Beach,2018-01,525900
Long Beach,2018-02,542100
Long Beach,2018-03,546400
Long Beach,2018-04,524300
Long Beach,2018-05,508400
Long Beach,2018-06,511300
Long Beach,2018-07,530500
Long Beach,2018-08,545600
Long Beach,2018-09,545300
Long Beach,2018-10,557300
Long Beach,2018-11,560200
Long Beach,2018-12,566100
Long Beach,2019-01,555300
Long Beach,2019-02,554000
Long Beach,2019-03,558400
Long Beach,2019-04,559400
Long Beach,2019-05,557600
Long Beach,2019-06,569400
Long Beach,2019-07,582800
Long Beach,2019-08,581000
Long Beach,2019-09,575300
Long Beach,2019-10,579000
Long Beach,2019-11,578100
Long Beach,2019-12,575200
Oakland,2014-01,398900
Oakland,2014-02,406100
Oakland,2014-03,407600
Oakland,2014-04,425100
Oakland,2014-05,428800
Oakland,2014-06,430800
Oakland,2014-07,439800
Oakland,2014-08,444700
Oakland,2014-09,455600
Oakland,2014-10,458300
Oakland,2014-11,464200
Oakland,2014-12,460500
Oakland,2015-01,462600
Oakland,2015-02,463700
Oakland,2015-03,466700
Oakland,2015-04,493000
Oakland,2015-05,504300
Oakland,2015-06,505300
Oakland,2015-07,500900
Oakland,2015-08,519700
Oakland,2015-09,536300
Oakland,2015-10,538000
Oakland,2015-11,536100
Oakland,2015-12,550900
Oakland,2016-01,559100
Oakland,2016-02,568500
Oakland,2016-03,562100
Oakland,2016-04,558100
Oakland,2016-05,560900
Oakland,2016-06,570500
Oakland,2016-07,574000
Oakland,2016-08,567600
Oakland,2016-09,558900
Oakland,2016-10,565000
Oakland,2016-11,594500
Oakland,2016-12,603600
Oakland,2017-01,622900
Oakland,2017-02,608400
Oakland,2017-03,631100
Oakland,2017-04,637000
Oakland,2017-05,622900
Oakland,2017-06,617500
Oakland,2017-07,605100
Oakland,2017-08,617100
Oakland,2017-09,608900
Oakland,2017-10,622400
Oakland,2017-11,634100
Oakland,2017-12,649400
Oakland,2018-01,655100
Oakland,2018-02,666000
Oakland,2018-03,686300
Oakland,2018-04,685900
Oakland,2018-05,697200
Oakland,2018-06,696200
Oakland,2018-07,705700
Oakland,2018-08,700900
Oakland,2018-09,713500
Oakland,2018-10,717200
Oakland,2018-11,727400
Oakland,2018-12,709400
Oakland,2019-01,694700
Oakland,2019-02,694600
Oakland,2019-03,704700
Oakland,2019-04,719600
Oakland,2019-05,716700
Oakland,2019-06,717400
Oakland,2019-07,720000
Oakland,2019-08,712000
Oakland,2019-09,717500
Oakland,2019-10,726100
Oakland,2019-11,737100
Oakland,2019-12,765100
Riverside,2014-01,286300
Riverside,2014-02,277700
Riverside,2014-03,282400
Riverside,2014-04,281700
Riverside,2014-05,287300
Riverside,2014-06,292800
Riverside,2014-07,294100
Riverside,2014-08,304500
Riverside,2014-09,306300
Riverside,2014-10,307200
Riverside,2014-11,301500
Riverside,2014-12,299900
Riverside,2015-01,301900
Riverside,2015-02,306800
Riverside,2015-03,308500
Riverside,2015-04,310500
Riverside,2015-05,307400
Riverside,2015-06,310400
Riverside,2015-07,312400
Riverside,2015-08,317100
Riverside,2015-09,316400
Riverside,2015-10,321400
Riverside,2015-11,326100
Riverside,2015-12,331900
Riverside,2016-01,330500
Riverside,2016-02,327500
Riverside,2016-03,328400
Riverside,2016-04,333000
Riverside,2016-05,337800
Riverside,2016-06,338300
Riverside,2016-07,335800
Riverside,2016-08,336000
Riverside,2016-09,336100
Riverside,2016-10,342100
Riverside,2016-11,344900
Riverside,2016-12,346800
Riverside,2017-01,345100
Riverside,2017-02,347400
Riverside,2017-03,351800
Riverside,2017-04,355300
Riverside,2017-05,359800
Riverside,2017-06,362500
Riverside,2017-07,366900
Riverside,2017-08,364900
Riverside,2017-09,365600
Riverside,2017-10,366700
Riverside,2017-11,374400
Riverside,2017-12,383400
Riverside,2018-01,393200
Riverside,2018-02,399800
Riverside,2018-03,395300
Riverside,2018-04,396300
Riverside,2018-05,397200
Riverside,2018-06,399300
Riverside,2018-07,398900
Riverside,2018-08,396500
Riverside,2018-09,405500
Riverside,2018-10,406100
Riverside,2018-11,403900
Riverside,2018-12,409100
Riverside,2019-01,414500
Riverside,2019-02,424100
Riverside,2019-03,419100
Riverside,2019-04,416100
Riverside,2019-05,412800
Riverside,2019-06,411800
Riverside,2019-07,410500
Riverside,2019-08,413400
Riverside,2019-09,415900
Riverside,2019-10,416700
Riverside,2019-11,419200
Riverside,2019-12,419400
Bakersfield,2014-01,196400
Bakersfield,2014-02,195500
Bakersfield,2014-03,195900
Bakersfield,2014-04,197700
Bakersfield,2014-05,198800
Bakersfield,2014-06,197400
Bakersfield,2014-07,201100
Bakersfield,2014-08,203200
Bakersfield,2014-09,206600
Bakersfield,2014-10,203800
Bakersfield,2014-11,203200
Bakersfield,2014-12,200200
Bakersfield,2015-01,201000
Bakersfield,2015-02,204400
Bakersfield,2015-03,204500
Bakersfield,2015-04,207800
Bakersfield,2015-05,211600
Bakersfield,2015-06,211200
Bakersfield,2015-07,211400
Bakersfield,2015-08,211400
Bakersfield,2015-09,212900
Bakersfield,2015-10,208700
Bakersfield,2015-11,203200
Bakersfield,2015-12,205400
Bakersfield,2016-01,208800
Bakersfield,2016-02,212900
Bakersfield,2016-03,214600
Bakersfield,2016-04,214600
Bakersfield,2016-05,213900
Bakersfield,2016-06,215600
Bakersfield,2016-07,216500
Bakersfield,2016-08,215200
Bakersfield,2016-09,212900
Bakersfield,2016-10,215300
Bakersfield,2016-11,219900
Bakersfield,2016-12,221200
Bakersfield,2017-01,220400
Bakersfield,2017-02,217700
Bakersfield,2017-03,218800
Bakersfield,2017-04,220500
Bakersfield,2017-05,222400
Bakersfield,2017-06,223000
Bakersfield,2017-07,221200
Bakersfield,2017-08,220600
Bakersfield,2017-09,222800
Bakersfield,2017-10,224700
Bakersfield,2017-11,230000
Bakersfield,2017-12,229900
Bakersfield,2018-01,233800
Bakersfield,2018-02,233500
Bakersfield,2018-03,233200
Bakersfield,2018-04,232300
Bakersfield,2018-05,233700
Bakersfield,2018-06,235400
Bakersfield,2018-07,234900
Bakersfield,2018-08,234400
Bakersfield,2018-09,236300
Bakersfield,2018-10,243000
Bakersfield,2018-11,244100
Bakersfield,2018-12,243100
Bakersfield,2019-01,242400
